ra_degrees,dec_degrees,magnitude
0.26915958,-48.80985919,5.71
0.33380226,-50.33739907,5.53
0.39937928,-77.06529438,4.78
0.40424537,61.22280406,5.58
0.45598912,-3.02747891,5.13
0.48996506,-6.01397169,4.37
0.54018776,27.08448905,5.8
0.58297574,-29.72044805,5.04
0.62398938,8.48557854,5.7
0.65034249,66.09896341,5.87
0.93488487,-17.33597002,4.55
1.05693212,62.2876646,5.9
1.08233885,-16.52888969,5.78
1.1255098,-10.50949443,4.99
1.17188841,-71.43685835,5.59
1.17432297,67.16638761,5.68
1.27555231,61.31396468,5.8
1.33394073,-5.70783255,4.61
1.42473238,13.39628227,5.55
1.56474395,58.43668966,5.98
1.5777634,-49.07509405,5.7
1.61052855,64.19616859,5.57
1.94523194,-22.50847542,5.93
2.01465535,-33.52933371,5.67
2.07313617,-8.82402541,5.99
2.09653333,29.09082805,2.07
2.2597423,18.21202529,5.57
2.29204036,59.15021814,2.28
2.3375862,-27.9879039,5.42
2.35224949,-45.74698836,3.88
2.50910252,11.14580908,5.54
2.50945435,-82.22399743,5.29
2.57853868,-5.24851713,5.84
2.58017518,46.07227117,5.01
2.67810574,-12.57980381,5.84
2.81628415,-15.46732287,4.89
2.8934043,-27.7997782,5.41
2.93286698,-35.13339606,5.24
3.04145374,-17.93821766,5.29
3.30895828,15.18361593,2.83
3.3314522,-84.99402068,5.78
3.37889713,41.03572671,5.71
3.42591849,-26.02215399,5.94
3.61496786,-7.78053784,5.13
3.65045047,20.2066972,4.79
3.66013628,-18.93268628,4.44
3.72708897,-9.56955053,5.77
4.0366068,-31.44632821,5.66
4.23771177,61.53319397,5.74
4.27306518,38.68167915,4.61
4.28766746,47.94741495,5.86
4.58210555,36.7853273,4.51
4.65924059,31.51723388,5.88
4.85701265,-8.82382948,3.56
5.00797581,-64.8776232,4.23
5.10163324,30.93561514,5.89
5.14943435,8.19024803,5.38
5.16267858,-69.62491154,5.5
5.18974442,32.91122853,5.79
5.28010785,37.96869954,5.16
5.3697616,-77.42685699,5.96
5.37990144,-28.98129509,5.18
5.44264511,-20.05799253,5.61
6.06518443,52.01992467,5.58
6.19786908,61.83106347,5.38
